gene,logFC,P.Value
1265,-1.060918333,0.000165453
5354,1.948313333,0.000166497
155060,0.86784,0.000168388
101929122,-2.806045,0.000169718
1958,0.9194,0.000171929
81502,-0.884208333,0.000175965
8502,1.37702,0.00017622
57565,2.299105,0.000177508
89876,2.151858333,0.000178316
5734,1.167975,0.000178861
83481,-1.918053333,0.00017894
401097,-2.239233333,0.000181941
2150,-3.148238333,0.000187866
131873,3.936485,0.000190216
54360,1.438198333,0.000192933
4815,-2.370193333,0.000193329
10072,-1.410703333,0.000196524
51226,-1.606216667,0.000196605
284361,-0.845266667,0.000198878
29775,2.57704,0.000199285
3627,-3.891528333,0.000201697
114088,1.937523333,0.000203328
827,3.717255,0.000208244
29959,-0.987368333,0.000209117
2354,3.182055,0.00020916
100874392 /// 101059949 /// 101060632 /// 101927345,1.786368333,0.000210742
57415,-1.502526667,0.000211513
5806,2.589778333,0.000212661
26468,1.986076667,0.000214083
2564 /// 407009 /// 574412,1.884913333,0.000214496
9508,1.92951,0.000214524
5649,2.655993333,0.000221976
54873,2.258168333,0.000224141
101927612,-1.825788333,0.000225368
130497,2.75327,0.000226068
5325,1.550873333,0.000238897
9452,2.116476667,0.00023999
23213,-3.245445,0.00024328
395,1.67186,0.000245841
115825,1.390433333,0.000249022
51421,1.6928,0.000251246
285016,0.562766667,0.000252576
23460,2.219348333,0.000252889
619518,1.076236667,0.000252955
84253,1.294756667,0.000253101
7010,1.67627,0.000258628
579,-2.534276667,0.000259546
164832,2.908845,0.000272617
1879,2.348948333,0.000277625
170371,1.64784,0.00027811
57556,1.467091667,0.00027891
10848,-1.134361667,0.000280342
57519,1.846878333,0.000288529
2706,-4.384946667,0.000292815
54556,1.084655,0.000304675
83595,2.835601667,0.000306031
23580,1.408506667,0.000309142
10186,1.452078333,0.000312546
10085,-3.319488333,0.000313131
7466,0.949183333,0.000313203
87,-1.034886667,0.000315764
57084,0.938553333,0.00031962
857,1.694758333,0.000321816
3418,-1.52465,0.000326167
11031,-1.681341667,0.000326195
443,2.867838333,0.000327272
81669,0.694073333,0.000328711
2890,1.811321667,0.000328873
220001,1.542018333,0.000330611
10124,1.173486667,0.0003314
51148,-1.371883333,0.000332456
79846,1.73037,0.000336305
650,2.328421667,0.000336473
145820,1.407193333,0.000338947
8777,1.24722,0.000341706
85358,2.24136,0.000342187
57685,1.773138333,0.000343519
54538,2.57186,0.000347806
9586,2.319366667,0.000348988
80055,1.669358333,0.000351976
55901 /// 100887750 /// 101930578,1.300115,0.000352599
23353,1.49404,0.000358669
8835,2.022275,0.000360373
24141,-2.99328,0.000362002
79586,-1.183238333,0.000362532
57452,3.395671667,0.000363858
3373,1.438185,0.000363938
23294,1.20811,0.00036452
154467,-1.667588333,0.000365101
109,0.692963333,0.000365344
79160,-1.042478333,0.000368621
460,1.746585,0.00037052
8840,-3.64158,0.000370817
81671 /// 406991,-1.317818333,0.000381039
153579,3.148111667,0.000390637
4360,1.175323333,0.000398836
55083,-4.183146667,0.00040069
4645,-1.737285,0.000401479
11170,1.659133333,0.000408035
8111,-1.357106667,0.000410732
91543,-3.327145,0.000415047
114789,1.093526667,0.000417646
9201,2.730475,0.000418868
3655,2.000755,0.000420133
56256,-1.705413333,0.000421639
441150,-0.847371667,0.000422459
57018,1.52639,0.000423166
241,-1.423695,0.000427212
63027,1.305845,0.00042805
23066,1.726028333,0.000428806
4016,-2.189371667,0.000429509
10411,1.96216,0.000434276
633,-1.748028333,0.000435082
4222,3.732685,0.00043569
57494,1.074415,0.000436993
116362,2.05105,0.000449968
6533,-1.889193333,0.000454391
50937,2.470675,0.000465089
10221,1.40109,0.000471756
93109,0.719815,0.000487325
387914,-2.816848333,0.000491755
1296,-2.895963333,0.000499434
387597,-1.866293333,0.000502501
135398,1.787468333,0.000514896
1009,-2.578643333,0.000516437
4774,1.4667,0.000521437
1268,2.476871667,0.000524256
8857,-1.986411667,0.000526438
8639,1.536801667,0.000530891
146556,1.99237,0.000530905
50615,-2.624178333,0.000539101
57496,1.455566667,0.000542871
57186,1.603151667,0.000543211
6430,0.885401667,0.000544893
10253,2.149208333,0.000551983
29085,-1.412323333,0.000562843
5166,3.591528333,0.000565668
22915,2.288663333,0.000568495
10907,-0.92909,0.000576908
3236,1.540353333,0.000578393
7450,2.550991667,0.000583535
5742,-1.526961667,0.000585275
100133941,-2.072173333,0.000590792
6586,1.46808,0.000593762
84859,1.134621667,0.000600506
727936,-2.459713333,0.000601599
9569,-0.819301667,0.000610523
904,0.77709,0.000611709
729420,1.911483333,0.000626654
11188,0.753701667,0.000626898
9021,1.805373333,0.000633838
140,-1.537711667,0.000638593
8544,1.148086667,0.000641627
89790,-1.262678333,0.000645537
10351,3.486653333,0.000647393
79632,1.485205,0.000648151
90293,1.819133333,0.000650432
126,2.347573333,0.000650643
25906,-0.68949,0.00065212
4820,1.250968333,0.00065332
79070,-1.600091667,0.000658505
3745,1.708028333,0.000663014
2523,1.182628333,0.000664161
221981,2.33884,0.000665278
29116,1.387003333,0.000673646
9934,2.042683333,0.000682893
165,-1.772721667,0.000687463
4282,-1.635838333,0.000693666
101928173,-2.02322,0.000694914
7033,2.240328333,0.000716504
4781,1.243426667,0.000717137
30835,1.232625,0.000727302
11000,0.92189,0.000729173
1901,1.447863333,0.000730264
25817,-1.220933333,0.000730656
23268,1.088186667,0.000732029
822,-2.029195,0.000734046
10252,1.75319,0.000737636
23179,1.157853333,0.000737979
23423,-1.150495,0.000739855
23601,-2.948381667,0.000740615
10395,1.211348333,0.000752965
