gene,logFC,P.Value
51312,0.630156667,0.032698046
55321,0.720693333,0.032709686
338872 /// 387911,0.330583333,0.032710016
80039,0.746888333,0.032740791
147179,0.556975,0.032753409
65997,-1.384371667,0.03275362
729,1.24175,0.032754285
4882,0.330328333,0.032790321
146223,-1.504361667,0.032803731
83987,-0.703128333,0.032806696
285148,-0.845533333,0.032850258
6319,-1.482311667,0.032882829
2014,-1.053813333,0.032919045
23710,0.841438333,0.032950553
26272,-0.683271667,0.032998706
151987,-0.648516667,0.033025884
7706,1.09961,0.0330289
11118,-0.675493333,0.033055836
51690,-0.934538333,0.033076361
221191,-0.27697,0.033104646
11280,0.99509,0.03312953
113246,-0.852756667,0.033166324
192286,-0.628473333,0.033181275
100310756,-0.427566667,0.033289147
5480,-0.961111667,0.033293482
2059,1.045586667,0.033349563
8863,0.827711667,0.03337511
9747,0.950515,0.033425492
10960,-0.515341667,0.033485684
53342,1.206045,0.033497871
118487,-0.82466,0.033520445
9616,-0.73185,0.033527657
89872,-0.472031667,0.033548069
150223,-0.859566667,0.033548438
84458,0.756613333,0.033549701
3073,-0.650085,0.033569833
100270680,0.30831,0.033571064
4086,1.0631,0.033581006
149233,1.709425,0.033581334
7347,-0.995938333,0.033584943
768211,0.607693333,0.033656663
23245,-0.94948,0.033665002
285857,-0.284635,0.033722683
5436,-0.397843333,0.03374114
126328,-0.660156667,0.033795058
100507516,-0.79577,0.033802265
9260,-0.866788333,0.033821386
51474,0.604203333,0.033850382
83943,0.572706667,0.033858471
2203,-0.781906667,0.033885203
101752400,-0.380421667,0.033893931
3207,-0.805563333,0.033944203
79064,-0.658751667,0.033984241
64175,-0.762841667,0.033993163
440416,-1.281845,0.033998844
101929747,-0.567081667,0.03401124
95 /// 100526760,-0.8709,0.034029472
3015,-0.626033333,0.034063515
30008,-0.610033333,0.03410404
4193,-0.705983333,0.034127769
54443,-1.064285,0.034140794
3479,1.29685,0.034152915
7020,-1.387233333,0.03415774
55521,-0.586263333,0.034201898
92856,-0.8322,0.034209186
101928031,0.926166667,0.034230156
23389,0.816568333,0.034318248
255082,0.585123333,0.03434382
22921,-0.573641667,0.034355266
3801,-0.591018333,0.034357585
5629,0.546801667,0.03435778
123879,0.63889,0.034382292
25987,-0.389466667,0.034390711
114800,0.973671667,0.034410838
3952,1.11772,0.034415318
4286,0.78179,0.034421064
2207,-1.569975,0.034433171
199990,-0.919011667,0.034523011
4155,1.411188333,0.034549699
100287616,-0.789221667,0.034580643
57030,0.585658333,0.034594764
170384,-1.125688333,0.034649145
50717,0.822656667,0.034702725
54956,-0.726271667,0.03474591
11013 /// 286527,-1.346851667,0.034813379
63826,-0.661315,0.034844473
51023,-0.957735,0.034861178
11267,-0.628711667,0.0348643
132949,1.158158333,0.034872805
8721,-0.450025,0.034876118
80019,-0.37633,0.034905809
4784,0.944915,0.034920111
386597,-0.58254,0.034936893
376693,-0.394866667,0.034937865
10682,-0.466078333,0.034973613
23753,-0.954221667,0.034975101
9978,-0.679486667,0.034982985
2122,1.246416667,0.034984776
23457,0.537813333,0.034992891
169044,-0.410513333,0.035076922
6992,-0.49728,0.035114306
100289058,0.689323333,0.035115089
55714,-0.56638,0.03511982
9027 /// 51471,-0.386206667,0.035122389
146330,-0.677471667,0.035125088
100131564,0.68131,0.035156472
339524,0.88723,0.035188147
9933,0.538485,0.035190966
257101,-0.48525,0.035211705
81928,-0.621106667,0.03523234
3557,-1.289543333,0.035243882
150596,0.502153333,0.035291629
3911,0.904095,0.035299974
2879,-0.553731667,0.03531444
285368,-0.595576667,0.035316871
79661 /// 693216,0.60877,0.035326712
51761,-0.576341667,0.035331846
100505915,0.551775,0.035387042
4635,-0.375046667,0.035398931
4969,1.58726,0.035420435
9501,0.55081,0.035460853
6046,0.615775,0.035472994
2720 /// 643853,-0.84207,0.035494646
51322,0.421706667,0.035528568
219,-0.714871667,0.035530751
102723886,0.982825,0.035532371
695,-0.629545,0.035608702
7260,-0.502241667,0.035630623
137835,-0.618805,0.035678631
2821,-0.81417,0.035697422
92106,-0.848518333,0.03573302
375057,0.641056667,0.035739332
3590,0.526298333,0.035739795
9123 /// 102465472,-0.632141667,0.035782529
4288,-0.699895,0.035791887
2923,-0.609126667,0.035806619
84959,-0.528205,0.035816856
84440,-0.563241667,0.035850152
57554,0.823108333,0.035898378
80262,-0.314038333,0.035902955
7869 /// 102465526,0.753748333,0.035958207
10557,-0.670423333,0.03596649
9315,-0.967526667,0.035974574
23643,-1.353821667,0.036005397
55819,-0.810148333,0.036015652
57630,-0.704835,0.03605071
4351,-0.552886667,0.036119876
4929,2.124283333,0.036126913
10287,-1.027295,0.036160757
1889,0.542936667,0.036234627
64848,0.717835,0.036273945
8604,0.438728333,0.036281949
130872,0.47978,0.036329765
54332,0.610668333,0.03634585
84749,0.82225,0.03636072
51287,-0.485561667,0.036370365
4862,-0.715808333,0.036407546
1185,0.525655,0.036413253
203447,-1.279005,0.036452722
27122,-1.117911667,0.036467063
27299,-1.857425,0.036540448
26799 /// 692088,0.951853333,0.036738666
3020 /// 3021 /// 100616282,0.552116667,0.036821022
55387,0.450408333,0.03682116
23264,0.73505,0.036839876
6310,-0.927713333,0.036859788
147920,-0.833046667,0.036880678
1589 /// 1590,0.792881667,0.036887724
84267,0.568503333,0.036896684
27161,0.501351667,0.036916397
84628,-0.88751,0.036940175
7857,-0.983671667,0.036974686
54540,0.491078333,0.037014841
653,0.486715,0.037047556
6894,0.625993333,0.037261728
5026 /// 30851 /// 100533970,-1.003551667,0.037298819
5475,-1.168776667,0.037299117
3291,0.954383333,0.037347584
51780,0.368776667,0.037370476
57134,0.820011667,0.037420206
4052,0.778918333,0.037420986
10772,0.830736667,0.037431527
2177,-0.769133333,0.037434879
84132,0.550516667,0.037466994
647087 /// 101930655,-1.074365,0.037508586
79957,-0.539638333,0.037527754
11018,-0.506043333,0.037533787
84527,0.876186667,0.037567391
140739,-1.068051667,0.037608377
3161,-1.209321667,0.037636595
5696,-0.924305,0.037649379
8569,0.469831667,0.037657533
154,1.077503333,0.037666645
118738,0.289853333,0.037789319
10572,-0.521743333,0.037793943
100506834,-0.641971667,0.037809965
8682,-0.847066667,0.03785641
10446,-0.501705,0.03786672
400916,-1.242635,0.037895069
100506990,0.655295,0.037910414
1020,-1.003468333,0.037999564
9923,0.72192,0.038013316
55720,0.440488333,0.038013717
9236,-0.56594,0.038048649
55068,-0.607275,0.038103001
55275,-0.431768333,0.038105821
254228,-1.061181667,0.038131577
79751,-0.437636667,0.038148037
6535,-1.010355,0.038153153
57228,0.585096667,0.038170793
64418,0.507865,0.038172401
83658,-0.514278333,0.038197438
127124,-0.460581667,0.038198726
10526,0.665273333,0.038200297
5172,0.532728333,0.038212214
917,-1.069375,0.038248712
5687 /// 9692,-0.400841667,0.038271523
65981,0.600668333,0.038300992
124152,0.931845,0.038314551
79944,0.46207,0.038326033
9287,0.34613,0.038340342
5522,0.818295,0.038359614
92667,-0.88911,0.038384767
10938,-0.419373333,0.03839699
10181,0.441226667,0.038419556
378805,0.728885,0.038423027
23381,-0.511166667,0.038445268
25880,-0.481673333,0.038472205
102724587,1.532865,0.038473932
7274,0.34201,0.038544095
56897,0.639576667,0.0385754
126014,-0.838326667,0.038578239
81892,-0.730225,0.038607479
5727,1.127326667,0.038653866
162427,-0.374111667,0.038669728
79026,0.689848333,0.038676507
57406,0.684078333,0.038700538
57130,-0.6585,0.038729052
84900,-0.602871667,0.038756286
8558,0.711818333,0.038759292
3861,1.878423333,0.038772293
26585,-2.539026667,0.038789328
7083,-0.423003333,0.038836945
440104,0.423728333,0.038913421
81029,-1.177485,0.03894946
3489,0.93377,0.038975032
3642,-0.365323333,0.038995211
5930,0.671556667,0.039010167
400954,0.85449,0.039027814
283349,-0.661381667,0.039073112
3931,0.87431,0.039084228
23471,-0.622203333,0.039107529
79742,0.391516667,0.039126404
54780,0.527751667,0.039135026
140691,-1.033518333,0.039176617
79413,-0.709611667,0.039192831
516,-0.61353,0.039239675
442117,0.454116667,0.039275241
5684,-0.729411667,0.039284375
27109,-0.461883333,0.039323274
347734 /// 100616124,-0.648371667,0.039327709
1349,-0.847518333,0.039357015
387923,0.706493333,0.039420714
3633,0.472135,0.039487015
740,-0.58017,0.03949049
158293,-0.979896667,0.03952207
2138,0.516625,0.039551439
101929717,0.381393333,0.039556802
1460,-0.786541667,0.039625281
2533,-0.917665,0.039630016
993,-0.608851667,0.039636594
23224,1.017566667,0.039662744
93343,-0.90646,0.039664732
81555,-0.806711667,0.039668494
56106,0.59255,0.039689687
147525,-0.876366667,0.039713737
11314,-1.533031667,0.039753391
26191,-1.064785,0.039772186
5218,-0.773738333,0.039802696
100996542,0.570768333,0.039826051
23310,-0.75663,0.039838512
4287,0.653015,0.03984435
128553,0.83753,0.039881331
6183,-1.179688333,0.039893658
9419,-1.402551667,0.039956868
8379,-1.104778333,0.03996397
79899,-0.988228333,0.039992724
33,0.861943333,0.039997545
8707,-0.509881667,0.040014126
6195,-0.661383333,0.040025698
345557,0.692876667,0.040081881
80196,-0.427835,0.040141734
284252,-0.698978333,0.04015717
101928779,-0.336395,0.040167373
97,0.712495,0.040222694
51710,0.75184,0.040245755
9949,0.55125,0.04025685
4837,-0.92413,0.040296498
54970,0.653431667,0.040352862
11041,0.500688333,0.040376221
23450,-0.385863333,0.040381874
254863,-0.68705,0.040386038
22905 /// 100874309,0.542426667,0.040420437
7841,-0.740976667,0.040433932
23235,0.601621667,0.040442733
2159,0.554256667,0.040486831
2588,-0.581596667,0.040539244
51571,-0.680475,0.040547483
9542,0.501005,0.040594811
65264,-0.490451667,0.040621619
2863,-0.478811667,0.040634535
3187,0.43797,0.040647006
81572,-0.51404,0.040657578
146909,-0.483981667,0.040729406
10725,0.499246667,0.040756623
29760,-0.936173333,0.040762055
1678,-0.334546667,0.040820542
171019,0.992348333,0.040821829
7754,0.810971667,0.040860921
85027,-1.376425,0.040894153
414919,-0.513268333,0.040910379
347404,0.271943333,0.040924001
9514,0.399748333,0.040990836
440574,-0.861745,0.04107716
29990 /// 101752399 /// 102466747,0.665103333,0.041082945
1749,-0.445985,0.041140696
196410,-0.319496667,0.041152128
4139,0.754593333,0.041241459
400410,-0.418918333,0.041245073
51265,-0.788991667,0.041250447
55328,-0.711063333,0.041258537
90993,-0.813228333,0.041271497
57333,-1.136648333,0.041335035
55138,-0.52366,0.041412893
10245,-0.641045,0.041419161
713,-1.882951667,0.041507577
2857,-1.782606667,0.041551437
25945,0.969038333,0.041567045
3176,-0.733733333,0.041568234
54584 /// 79680,0.713218333,0.04157832
79643,-0.560148333,0.041607015
920,-0.77963,0.041736777
2946,0.759736667,0.041820644
3075,0.804403333,0.04182891
4330,-1.062593333,0.041833122
5367,-0.712451667,0.041844658
25804,-0.713805,0.041849964
6695,-1.2129,0.041981321
81793,-0.386605,0.042006727
23409,-0.51522,0.042016096
4669,-0.673858333,0.042033783
8603,0.330056667,0.042049144
342909,0.379956667,0.042056132
151473,1.54323,0.042092435
54891,0.771926667,0.042100939
24150 /// 653550 /// 729264 /// 729355,0.49237,0.042106622
55954,-0.836795,0.042156923
22990,0.744036667,0.042170419
55683,0.538021667,0.042211725
81618,-0.805353333,0.042233393
8663,0.777818333,0.042239307
8798,-0.675281667,0.042243856
7052,-1.561485,0.042272942
5435,-0.653425,0.042307859
5732,-0.852463333,0.042327099
3336,-0.843401667,0.042391203
29940,-0.890911667,0.042416169
9220,-0.316025,0.042434361
84219,-0.563536667,0.042508598
389677,-0.65224,0.042528628
10268,1.402275,0.042544913
5245,-0.806543333,0.042601376
80851,-0.373805,0.042608173
51202 /// 81575,0.518873333,0.04261218
3572,0.648278333,0.042624037
280636,-0.530565,0.042625559
1393,0.353151667,0.04262987
78988,-0.654743333,0.042636252
4710,-0.663425,0.042640658
143684,0.488306667,0.042668454
5730,1.389803333,0.042689298
27233,0.312185,0.042691706
83448,-0.354551667,0.042735531
55808,1.112581667,0.042751541
55793,0.587071667,0.042811706
434,-0.359016667,0.042816682
286499,0.725773333,0.04283717
3556,-0.41955,0.042863209
23516,-0.925868333,0.04290061
187,1.57458,0.042948571
6448,0.414818333,0.042955826
23095,0.905641667,0.04298328
440465,0.742481667,0.043019685
57531,1.127228333,0.043029854
389634,0.330515,0.043121137
219855,-0.490468333,0.043195728
23612,-0.77005,0.043224915
10391,0.797696667,0.04323221
10692,0.387678333,0.043372718
147372,0.729128333,0.043385856
6336,0.340215,0.043388072
10809,-1.028658333,0.043407872
22837,0.629201667,0.043426903
7325,-0.936035,0.04344498
4694,-0.793193333,0.043451309
25966,0.669818333,0.04347333
56127,0.651918333,0.043480932
201255,-0.622016667,0.043549446
51072 /// 84661,-0.483105,0.043576315
83988,0.65412,0.043606997
10000,0.713818333,0.043618802
9129,0.41553,0.043642579
7125,0.69756,0.043712157
54742,0.900058333,0.043723371
368 /// 653190 /// 730013 /// 101930322,-0.79237,0.043764707
137872,0.770171667,0.043852561
4125,-1.230971667,0.04392068
56967,0.826863333,0.043956753
90342,-0.287416667,0.043985531
441631,0.962298333,0.044003497
9550,-0.610696667,0.044026507
84525,-1.569118333,0.044043398
112464,-0.982083333,0.044057192
5170,0.476725,0.044079838
113878 /// 102725292,-0.41165,0.044080039
91612,-0.548378333,0.04408546
8365,-0.409913333,0.044119978
53840 /// 445372,-0.953251667,0.044154545
9644,-0.697146667,0.04415606
100289061,0.606371667,0.044167573
1737,-0.757473333,0.04421931
10459,-0.783335,0.044245876
56898,0.785785,0.044256576
2850,-1.441233333,0.04427216
83955,0.281506667,0.044300298
128240,-0.63163,0.044308585
101929504,-1.881355,0.044310667
5570,-1.082101667,0.044348615
6624,-0.78917,0.04435862
5648,0.813793333,0.044368341
4297 /// 101929115,0.816735,0.044458758
863,0.610195,0.044533064
63977,0.683346667,0.044628003
7433,0.551186667,0.044644627
374907,-0.443243333,0.044700503
54094,0.928323333,0.044707088
9997,-1.455676667,0.044713357
29108,-0.948086667,0.044748034
8837 /// 102724614,-0.567593333,0.044751731
2948,0.56802,0.044753165
91775,-0.609481667,0.044753464
9446,-0.847965,0.04477981
100652772,-0.74439,0.044789418
63899,-0.51181,0.044793862
101930028 /// 101930449,0.291138333,0.044797881
254773,-0.346861667,0.044832151
1994,-0.648011667,0.044838177
79442,0.398375,0.044851992
55771,0.510408333,0.04486068
10239 /// 100526783,-0.753888333,0.044904425
26255,-0.394585,0.044904554
55825,0.399818333,0.044919443
10492,0.608391667,0.044922095
23178,-0.702941667,0.044927359
503693,-1.02547,0.044959342
6176,-0.397156667,0.04500512
101929760,-0.746975,0.045034604
9868,-0.451235,0.045036122
27044,-0.318465,0.045049697
6836,-0.503136667,0.045085539
10635,-0.9169,0.045086902
55676,-0.813233333,0.045097357
134353,-0.93883,0.045114673
5125,1.194908333,0.045121287
55544,-0.616233333,0.045201159
100505718,0.49805,0.045226988
152137,0.721288333,0.045254888
56160,-0.634236667,0.045274905
1622,-0.730438333,0.045292189
29062,0.553051667,0.045318706
6368,0.385498333,0.04534888
151354 /// 653602,-0.99675,0.045375828
4499,1.082088333,0.045378678
1211,-0.419248333,0.045440174
7227,-0.559491667,0.045483163
171568,-0.617506667,0.045494803
7456,-0.731111667,0.045499348
100288721,0.361408333,0.0455022
10101,-0.387445,0.045510482
2013,-0.41117,0.045557794
51559,0.564791667,0.04557531
619208,-1.011548333,0.045603002
825,0.608538333,0.045670277
7707,0.725283333,0.045673995
85437,-0.537505,0.045696918
388439,-0.461123333,0.04572275
8924,0.503418333,0.045739327
100506465,-0.290931667,0.04579248
55356,-1.189155,0.045800791
25894,0.818518333,0.045817137
339487,-0.942736667,0.045833552
284370,0.361148333,0.045842316
50813,-0.60129,0.045865976
10920,-0.557898333,0.04591892
9928,-0.419106667,0.04594177
554206,-0.336536667,0.045980007
1153,0.529106667,0.046006811
1278,-0.56123,0.046012979
92565,-0.853433333,0.0460309
604,0.51376,0.046096377
9275,-0.380998333,0.046151112
644186,-0.473163333,0.046188625
7165,-0.5024,0.046244493
7090,-0.73802,0.046273797
90246,0.398213333,0.046356433
23032,0.522961667,0.046379735
678,0.654788333,0.046381866
4831 /// 654364,-0.670738333,0.046436631
55332,-0.851345,0.046485836
90139,0.77105,0.04649931
317671,-0.61132,0.046520821
158960,-0.592166667,0.046666513
192668,-0.914493333,0.046678238
113828,-0.412078333,0.046689556
387758,-1.287433333,0.046746867
2590,-0.710938333,0.046789412
84897,0.615883333,0.046793532
3475,0.947368333,0.046813155
4176,0.529158333,0.046849762
8815,-0.73193,0.046896005
167681,-0.807156667,0.046964998
149345,-0.54093,0.047039822
100507054,-0.608536667,0.047090238
55240,-0.599691667,0.047092321
4122,0.432298333,0.047108197
6422,1.796896667,0.04712725
55659,-0.656253333,0.047138211
113189,-0.53713,0.047150249
9467,0.521155,0.047150506
58484,-0.424301667,0.047159002
55893,0.738645,0.047208127
221061,0.999723333,0.047299843
57576,0.41451,0.047356305
84439,-0.390066667,0.047391316
126075,-0.437748333,0.047454776
85415,-0.584806667,0.04746868
7399,0.421771667,0.047498792
399972,-0.638865,0.047511801
22876,-0.800718333,0.047533403
84833,-0.693588333,0.047545265
30837,0.795033333,0.047555646
51228,-0.525168333,0.047559793
3357,-1.705286667,0.047591672
374443,-1.368716667,0.047600618
285735,0.463216667,0.047636595
6518,-1.538685,0.04766335
8930,0.487035,0.047669548
27163,-1.003441667,0.047671128
5805,-0.840638333,0.047676698
100996412,0.58273,0.047784543
10718,0.462336667,0.047799662
1535,-1.414948333,0.047801794
5324,-0.611285,0.047936145
283446,-0.524783333,0.047966851
114294,-0.819536667,0.048047056
2245,-0.388238333,0.04804908
5858,0.960455,0.048049176
5176,-0.824121667,0.048102637
9790,0.458588333,0.04810766
4810,-0.978925,0.0481544
117581,1.11812,0.048157632
64773,0.53332,0.048174053
84570,0.418423333,0.048184718
100132074,0.365221667,0.048251607
51397,-0.96733,0.048286081
84166,-1.008168333,0.048290553
57828,0.314436667,0.048328812
64328,0.572,0.048334978
84944,-0.845766667,0.048340253
3560,-0.719043333,0.048393304
5733,-0.885178333,0.048419398
7473 /// 101929777,-0.458598333,0.048444138
57187,0.452381667,0.048459917
222663,-1.305568333,0.048468493
8636,-0.549308333,0.04848713
5151,0.827243333,0.048529181
5754,-0.940603333,0.048562524
23600,-0.618548333,0.048612206
5434,-0.527473333,0.048629447
220594,0.706208333,0.048704625
55002,-0.673206667,0.04870496
55508,-0.670525,0.04875068
6988,-0.409975,0.048756072
83956,0.503638333,0.048829619
10291,0.383526667,0.048866721
10992,-0.374945,0.04886767
146691,0.53152,0.048929468
93624,-0.725996667,0.048966153
6567,-0.583358333,0.04899037
5569,-0.811575,0.049002613
285965,-0.634621667,0.049013707
5327,-0.970995,0.049064347
84681,-0.564721667,0.049071932
2548,-0.682688333,0.049079904
176,-0.357806667,0.049130913
256356,0.409008333,0.049180421
2926,-0.779205,0.049183217
5230,-0.897646667,0.049185349
9736,0.561788333,0.049189408
57583,-1.118548333,0.049239921
143098,0.575846667,0.049248381
9532,-1.1129,0.049323412
11086 /// 101928551,0.30614,0.049325767
55340 /// 100527949,1.217926667,0.049411965
5832,-0.813711667,0.049460902
57161,1.134273333,0.049496369
22875,0.88061,0.049498921
54737,0.611298333,0.049503843
26266 /// 647087 /// 101930655,-0.677695,0.049652317
5873,-0.819198333,0.049683383
100996511,-0.887885,0.049717752
286058,0.530733333,0.049729809
54751,-0.97749,0.04974069
23254,1.294418333,0.049763988
11214,0.668881667,0.049783768
10127 /// 91151 /// 283876,0.378861667,0.049788239
11149,-0.85837,0.049801272
664701,-0.34897,0.049820471
8876,-0.687143333,0.049883468
9415,-0.482108333,0.049895224
29982,-1.340811667,0.04996008
285761,-1.277563333,0.050013055
30812,1.116358333,0.050109041
9688,-0.401578333,0.050123639
442578,0.760635,0.050133837
54799,0.74777,0.050134571
3052,-0.829663333,0.050150454
4938,-1.427193333,0.050205371
255022,0.311251667,0.05024877
160,0.600885,0.050276439
7767,1.02383,0.050276559
6515,0.907756667,0.050379079
200162,0.785738333,0.050415333
85352,-0.80008,0.050442138
55244,-0.966688333,0.050447681
1158,-0.30071,0.050452087
55504,-1.995425,0.050488358
677844 /// 735301,-0.508796667,0.050495531
388796,0.663018333,0.050507983
79612,0.474326667,0.050617034
55668,0.694215,0.05062558
4953,0.937818333,0.050786726
90313,-0.57307,0.050802204
145282,0.528005,0.050830801
4314,-1.741811667,0.050844632
27341,-0.65765,0.050846804
332,-0.941711667,0.050877237
2550 /// 10537,-1.37052,0.050901161
389541,-0.327851667,0.050913252
79729,-0.549553333,0.050923506
84215,0.477663333,0.051041083
100132169,0.424136667,0.051132067
100131825,1.140091667,0.051145229
56257,0.492933333,0.051189132
80310,1.265585,0.051197292
149473,-0.495886667,0.051210593
100271722,-0.453471667,0.051276738
2038,-0.31329,0.051287275
84277,-0.389011667,0.051303459
26226,0.752111667,0.051321012
55239,-0.666798333,0.051367891
26140,0.708311667,0.051380834
2004,0.800213333,0.051403979
653308,-0.668425,0.051434157
23354,0.408908333,0.051434554
6092,0.583901667,0.051443696
1116,-1.04247,0.051469818
64061,0.561781667,0.051498856
402055,-0.486085,0.051667641
223,0.431413333,0.051677095
25850,-0.352423333,0.051683823
91801,0.756228333,0.051683862
55198,1.26842,0.051763485
92703 /// 653659,-0.662741667,0.051787918
56654,0.624608333,0.051789728
11235,-0.630576667,0.05179197
79576,-0.499683333,0.0517945
10538,-0.764203333,0.051820261
10100,-1.346546667,0.051820372
101928161,0.576518333,0.051825893
147660,0.582121667,0.051877198
9854,-0.459821667,0.05192557
151230 /// 493911 /// 100526832,0.806175,0.051978857
375513 /// 728411,0.335765,0.052011458
6575,-0.461901667,0.052020241
4245,-0.582423333,0.052022455
10899,-0.423291667,0.052039522
9284 /// 339044 /// 642778 /// 642799 /// 100288332 /// 101059938 /// 101059953 /// 101930075 /// 102724993,0.544095,0.05205617
3791,1.218343333,0.052126696
7402,0.63275,0.052127014
84225,-0.400248333,0.052140843
51531,-0.43122,0.052158574
597,-0.787711667,0.052166087
81491,0.355765,0.052204924
391,-1.069776667,0.052280539
6746,-0.568706667,0.052334711
9040,-0.707653333,0.052361604
65977,-0.913958333,0.052399206
22981,1.006093333,0.052463102
375,0.654426667,0.052505269
4099,-0.375103333,0.052540378
6886,0.434281667,0.052620687
1581,0.278988333,0.052703353
57482,-0.912428333,0.052706981
54998,-0.502,0.052719338
116255,0.290465,0.052786193
7048,0.959526667,0.052797445
5332,1.272841667,0.052830555
645638,-0.328428333,0.052864765
2073,0.309696667,0.052923794
338557,-0.358638333,0.052974822
23035,0.696125,0.052982143
26011,-1.165111667,0.053130771
29954,0.383618333,0.053132556
26057,0.4137,0.05318777
3437,-1.610645,0.053220598
3181,0.519433333,0.05327354
477,1.04199,0.053285497
3586,-0.373195,0.053296932
814,-0.932341667,0.053299064
10102,-0.34508,0.053329727
9776,-0.584581667,0.053386921
1032,-0.42725,0.053406637
5888,-0.553773333,0.053425562
100506783,-0.482945,0.053427868
55034,-0.748266667,0.053468156
5212,0.73167,0.053499806
81624,-0.310288333,0.053515256
26002,-0.992926667,0.053550609
102724030,0.6982,0.05362472
90410,-0.437593333,0.053662343
55852,-0.56817,0.053668781
55841,-0.536441667,0.053698277
84973 /// 677804 /// 677824,0.49826,0.053720639
728116,0.359113333,0.053745234
113,-1.334676667,0.053787969
55803,-0.916353333,0.053896546
79019,-0.696961667,0.053907849
3398,-0.652643333,0.053910967
57407,-0.662521667,0.053912672
4589,-0.405875,0.053913445
23589,-0.6953,0.053948678
6573 /// 101928717,-0.581543333,0.053980684
54477,1.018385,0.054019239
64127,-0.968673333,0.054026277
51428,-0.66737,0.054038765
55478,0.414936667,0.054066418
9284,0.537601667,0.054084713
144717,-0.458101667,0.054097568
101927380,0.903758333,0.054195633
1119,0.589166667,0.054196623
11057,-0.693475,0.054201428
224,0.649601667,0.054205633
117584 /// 100529207,-0.776186667,0.054221468
2868,0.779561667,0.054257038
79081 /// 102288414,-0.573005,0.054270948
51728,-0.599796667,0.054300541
2657 /// 10715,0.455003333,0.054343455
100506497,0.834033333,0.054380869
10301,-0.624758333,0.054388785
92345,0.518415,0.054421831
101060091,-0.259061667,0.054449994
30815,0.331248333,0.054460692
1601 /// 101926921,0.482783333,0.054470234
11217 /// 445815,0.561871667,0.054493217
2635,-0.863021667,0.054577744
148103,-0.704141667,0.054629099
55315,-0.65336,0.054631844
2140,-0.432485,0.054656548
10280,-0.387513333,0.054701501
51537,-0.663441667,0.054708685
94,0.689321667,0.054773327
164,0.616843333,0.054808847
84552,1.062605,0.054826572
6390,-0.726491667,0.054828482
11211,0.834585,0.054833638
5920,-0.707466667,0.054913406
51522 /// 81853,-0.423135,0.055021071
146057,0.667418333,0.055063483
55709 /// 114971,-0.669353333,0.055150939
23413,-0.371165,0.055152827
5663,-0.6158,0.055160993
79869,0.509611667,0.055189389
113829,-0.515216667,0.055221621
5603,-0.905496667,0.055251531
7335 /// 387521 /// 387522,-0.741151667,0.05532989
5525,0.347725,0.055356316
55022,1.026778333,0.055371072
6576,-0.666685,0.055444157
4236,-0.904943333,0.055454308
202309,-1.136405,0.055646562
7818,-0.421878333,0.055692021
728040,0.387565,0.055695183
219833,-0.567798333,0.055799585
58508,0.483345,0.055806874
28511,-0.792461667,0.055869539
25849,1.398058333,0.05591715
59271,0.773166667,0.055939066
10195,-0.54637,0.055966787
50650,0.793035,0.055974156
79974,0.564915,0.055977176
57088,0.790836667,0.056016217
102724827,-0.42661,0.05605247
5069,-0.963856667,0.056159656
6286,-0.922753333,0.056202818
8189,0.914291667,0.056229951
400120,0.39405,0.056235464
6770,-0.404781667,0.056259196
1797,0.527506667,0.056277112
415,-0.95295,0.056297012
7038,-0.409636667,0.056307805
50855,-0.517616667,0.056346564
84803,0.766483333,0.05636215
10036,-0.470963333,0.056397793
120376,0.68758,0.056409845
101927350,0.272483333,0.056442048
493,0.616618333,0.0564611
22995,0.781936667,0.056461967
55872,-0.371761667,0.056595471
201516,0.838506667,0.05663137
90338,0.483676667,0.056667396
2200,-0.759136667,0.056701538
100873954,0.70592,0.056720914
54039,-0.44692,0.0567824
84851,0.669581667,0.056885104
84163,-0.640025,0.056896943
5621,0.494676667,0.056924571
6601,0.35713,0.056936022
2346 /// 219595,0.912216667,0.056979124
387,-0.641405,0.057014389
6999,-1.220026667,0.057038822
4166,-0.886041667,0.057039235
28560,0.458736667,0.057069504
7569,0.832126667,0.057100784
130399,0.875331667,0.057133705
1472,-0.424756667,0.057135618
53344,0.772181667,0.057233734
84057,-0.394298333,0.057276963
22897,0.872061667,0.057282979
85406,-0.735546667,0.057288738
1641,1.317763333,0.057305047
55180,0.627263333,0.057319348
26608,-0.439936667,0.057384146
161176,0.370528333,0.057391749
5033,-1.012285,0.057445226
100130449,-0.53685,0.057500425
57099,-1.10436,0.057510451
126299,-0.392148333,0.057527093
91860,0.837675,0.057561241
3659,-0.863818333,0.057578302
8772,-0.571843333,0.057586003
5335,0.387976667,0.057638799
199,-0.703673333,0.057672473
10244,-0.43768,0.057673359
79875,1.299128333,0.057726732
219988,-0.639193333,0.057748615
9370,2.238716667,0.057775614
6880 /// 102157402,-0.863898333,0.057803708
57718,0.360951667,0.057818958
9442,-0.619796667,0.057856942
101,-1.002348333,0.057896964
84223,-0.75425,0.057925759
134957,-0.908595,0.057932309
8291,0.667321667,0.057952802
1059,-0.452646667,0.057953156
7140,0.773196667,0.05795626
10554,-0.531638333,0.057973265
4700,-0.807451667,0.058082373
84335,-0.345321667,0.058098796
26974 /// 646915,0.76584,0.058117317
392,-0.5082,0.058161911
6996,0.526491667,0.058220274
116115,-0.371583333,0.05822091
286464,0.338351667,0.058252322
84063,-0.29353,0.058254634
100288432,-0.501998333,0.058396436
